################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.7581894817545203E-03   4.2734091396616602E-01   3.6845250401539603E-02   1.5482457356675102E-02
         1          2   0.0000000000000000E+00   1.0235199954012328E-02   6.0617326723700211E-06   7.6875525777354609E-05
         1          3   5.8902739589232943E-02   2.8283093484548044E-01   1.5840109000993516E-01   1.5546922372140044E-02
         1          4   5.2630351097810682E-02   1.1826713737715178E+00   2.3084385015664619E-01   8.3341995026610952E-02
         1          5   0.0000000000000000E+00   7.5403434461318794E-02   1.3355767599558180E-04   1.0837796898405625E-03
         1          6   2.2354766391743922E-01   7.4570213235613314E-01   3.8737176201244600E-01   5.3138999803504020E-02
         1          7   1.9854728511451783E-01   2.3763907644748787E+00   6.8782671593968248E-01   2.5139382893536633E-01
         1          8   0.0000000000000000E+00   2.1522361839288520E-01   1.3105698038829248E-03   7.6167901854022795E-03
         1          9   2.1999344368964260E-01   1.1680594976904397E+00   4.8138624261233748E-01   1.2112041888359087E-01
         1         10   1.2653587863564258E-01   3.0352166390805881E+00   1.1427835593396094E+00   4.1340263529341326E-01
         1         11   0.0000000000000000E+00   5.0111213595995074E-01   5.9470086108154028E-03   2.6836670010520088E-02
         1         12   6.4808041050592971E-02   1.4502038582288768E+00   5.1821799955743142E-01   1.9889828165916951E-01
         1         13   2.1179217839978125E-02   2.8442501857522107E+00   1.2589813206020073E+00   4.3950422774385289E-01
         1         14   0.0000000000000000E+00   7.2380950494380658E-01   1.3425946239193468E-02   4.8950429102123987E-02
         1         15   8.4958573310815570E-03   1.5508588165014416E+00   6.2943795354647636E-01   2.3780149577017271E-01
         1         16   1.3737235819976160E-03   2.3157116224932333E+00   1.0934045327802684E+00   3.6210680435576220E-01
         1         17   0.0000000000000000E+00   6.9326960681355154E-01   1.6920521021756396E-02   5.1884789511269590E-02
         1         18   9.2684467750073756E-03   1.2325314210870213E+00   6.1712887099706981E-01   1.8292066707683652E-01
         1         19   3.1658708248574799E-05   1.5511572687482291E+00   7.7924621448476217E-01   2.5210430767158365E-01
         1         20   0.0000000000000000E+00   4.6613863861325833E-01   1.3608312820226256E-02   3.7345679862520055E-02
         1         21   8.0659516581575493E-03   8.4884777430440506E-01   4.2267693455670113E-01   1.2075483530314113E-01
         1         22   2.6840628851663974E-07   8.5776058309160585E-01   4.1825859775571278E-01   1.4246528109982159E-01
         1         23   0.0000000000000000E+00   2.4554495991365000E-01   7.6970178942574715E-03   2.0053119092497632E-02
         1         24   6.0943072548639548E-03   4.3297489517657772E-01   2.1800720366458218E-01   6.6606585316155056E-02
         1         25   8.3714363304432203E-10   3.4220711243567875E-01   1.5838667396932482E-01   5.6617297985655825E-02
         1         26   0.0000000000000000E+00   9.2121973347721750E-02   3.0955112612489591E-03   7.9835853527975946E-03
         1         27   1.0448778763613867E-03   1.7347671506586670E-01   8.4696755948423005E-02   2.7948958706015083E-02
         1         28   9.6053044228000695E-13   8.6234059685091083E-02   3.9149238233180381E-02   1.4356803659927682E-02
         1         29   0.0000000000000000E+00   2.6111944800872464E-02   8.1142987421353274E-04   2.1212742982829567E-03
         1         30   3.6751902027620716E-05   4.9415113004305039E-02   2.1606919163799886E-02   7.5743955505920401E-03
         1         31   0.0000000000000000E+00   3.5636169159659975E-01   3.9026178472988310E-02   3.0122064931293040E-02
