################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1373843009885080E-03 a         1     0     1     1     1
 -2.2083203157423520E-01 a         2     0     1     1     2
  2.1250878852871508E-01 a         3     0     1     1     3
 -9.0551250678696571E-02 a         4     0     1     1     4
 -2.2129653369744681E-01 a         5     0     1     1     5
  1.1150715431015683E-01 a         6     0     1     1     6
  1.2244595614372158E-01 a         7     0     1     1     7
  4.5936433399892659E-02 a         8     0     1     1     8
  5.9390038547708829E-02 a         9     0     1     1     9
  3.9158213925092377E-03 a        10     0     1     1    10
 -1.5839738100055210E-02 a        11     0     1     1    11
  1.9530485453354787E-01 a        12     0     1     1    12
  7.5343516296447671E-02 a        13     0     1     1    13
 -1.6238097595414913E-01 a        14     0     1     1    14
  1.2983646499428980E-01 a        15     0     1     1    15
 -1.3522548400687304E-01 a        16     0     1     1    16
  2.7307861937909716E-01 a        17     0     1     1    17
  1.0894286303769828E-02 a        18     0     1     1    18
 -2.4850971847439085E-01 a        19     0     1     1    19
 -1.1998178286483928E-01 a        20     0     1     1    20
  2.2142828698342831E-01 a        21     0     1     1    21
 -2.3576157125552566E-01 a        22     0     1     1    22
 -3.1121050408841701E-02 a        23     0     1     1    23
 -1.3578038591843516E-01 a        24     0     1     1    24
  1.0016693735576589E-02 a        25     0     1     1    25
  1.6822914901780894E-01 a        26     0     2     1     1
 -8.9660532687462505E-02 a        27     0     2     1     2
 -2.2448761357205849E-01 a        28     0     2     1     3
 -1.1542023411574052E-01 a        29     0     2     1     4
 -5.2712822827629596E-02 a        30     0     2     1     5
  2.3388967925028381E-01 a        31     0     2     1     6
  2.1448137845472331E-01 a        32     0     2     1     7
  1.3396508807254870E-01 a        33     0     2     1     8
  1.1237309383517574E-01 a        34     0     2     1     9
 -1.5234461869493582E-01 a        35     0     2     1    10
  2.1537584806829208E-01 a        36     0     2     1    11
 -1.8788604689100787E-02 a        37     0     2     1    12
  1.0630206031355396E-01 a        38     0     2     1    13
  2.0969588980504272E-01 a        39     0     2     1    14
  1.4588432101020871E-02 a        40     0     2     1    15
  9.9477547972056199E-02 a        41     0     2     1    16
  2.8863539645396274E-01 a        42     0     2     1    17
 -1.2131919362650781E-01 a        43     0     2     1    18
  6.4478526815588771E-02 a        44     0     2     1    19
 -1.9732229522176892E-01 a        45     0     2     1    20
  1.5732256241638298E-01 a        46     0     2     1    21
 -8.0861447189424382E-02 a        47     0     2     1    22
